en_name,th_name,course,province,region,calories_kcal,prep_time_minutes,is_vegetarian,sales_2025,price_baht,spice_level,rating_out_of_5
Kaeng Bum Bai,แกงบุ่มไบ่,main dish,Various,Various,249,30,False,221000,50,Medium,
Phat Phong Kari,ผัดผงกะหรี่,main dish,Various,Various,831,60,False,346700,150,,3.5
Kaeng Salae,แกงสะแล,main dish,Various,Various,177,,False,271500,35,Very Hot,
Chun Pia,ชุนเปี๊ยะ,snack,Unknown,Unknown,734,20,False,317800,35,Hot,4.1
Kaeng Chuek Som,แกงชักส้ม,main dish,Various,Various,274,5,True,374900,40,Hot,
Kai Yang,ไก่ย่าง,main dish,Khon Kaen,Northeast,,120,False,474000,,Mild,
Kanom Kui Chai,ขนมกุยช่าย,snack,Various,Various,241,45,False,273300,,,4.6
Nam Nang,น้ำหนัง,snack,Unknown,Unknown,298,5,False,324600,35,Not Spicy,3.2
Kaeng Khanun,แกงขนุน,main dish,Northern provinces,North,539,5,,39500,40,Mild,4.1
Kao Raem Fuen,ข้าวแรมฟืน,main dish,Unknown,Unknown,332,15,False,386900,30,Very Hot,
Kuai Tiao,ก๋วยเตี๋ยว,main dish,Bangkok,Central,446,40,False,189200,45,Hot,4.3
Kanom Ping,ขนมผิง,snack,Various,Various,359,15,False,303800,70,Medium,2.6
Kai Tai Nam,ไก่ใต้น้ำ,main dish,Northern provinces,North,240,60,False,150600,70,Not Spicy,2.6
Thong Muon,ทองม้วน,snack,Various,Various,490,,False,362600,60,Not Spicy,2.9
Kanom Tua Paeb,ขนมถั่วแปบ,snack,Various,Various,194,5,False,,60,Very Hot,
Khao Mao,ข้าวเม่า,dessert,Various,Various,131,,,52000,30,Mild,4.8
Thong Yod,ทองหยอด,dessert,Various,Various,168,20,False,162800,45,Hot,2.8
Rum,หรุ่ม,snack,Unknown,Unknown,506,30,False,453700,120,,3.0
Ang Kab Bob,อังแกบบอบ,main dish,Unknown,Unknown,528,45,False,56900,,Medium,3.7
Mee Krob,หมี่กรอบ,main dish,Bangkok,Central,499,25,False,315900,40,Medium,3.9
Kaeng Som,แกงส้ม,main dish,Various,Various,305,15,False,16300,60,Mild,2.7
Pa Lo,พะโล้,main dish,Various,Various,501,5,True,444700,40,Not Spicy,4.5
Kanom Luk Gawad,ขนมลูกกวาด,dessert,Unknown,Unknown,528,90,,420000,150,,4.4
Phat Prik Khing,ผัดพริกขิง,main dish,Various,Various,356,60,False,86700,25,Hot,3.1
Kaeng Liang,แกงเลียง,main dish,Various,Various,790,120,False,426600,120,Medium,3.6
Thu Kiao Tom Nam Tan,ถั่วเขียวต้มน้ำตาล,dessert,Various,Various,,120,False,,150,,
Phat Priao Wan,ผัดเปรี้ยวหวาน,main dish,Various,Various,824,60,True,262000,,Hot,3.4
Sap Yaek,สัพแหยก,main dish,Unknown,Unknown,343,10,False,24000,,Medium,
Nam Ngiao,น้ำเงี้ยว,main dish,Northern provinces,North,848,40,False,430400,35,,3.7
Moo Cha Muang,หมูชะมวง,main dish,Various,Various,375,25,False,262800,40,Very Hot,
Kaeng Runjuan,แกงรัญจวน,main dish,Central provinces,Central,568,25,False,246100,100,Mild,4.4
Kraya Sadt,กระยาสารท,dessert,Various,Various,202,60,False,,80,Very Hot,3.9
Dara Thong,ดาราทอง,dessert,Unknown,Unknown,551,5,False,436300,70,Very Hot,4.5
Thong Ek,ทองเอก,dessert,Various,Various,,20,False,472000,150,Medium,
Tom Saep,ต้มแซ่บ,main dish,Northeast provinces,Northeast,420,120,,,,Not Spicy,3.3
Kaeng Rawaeng,แกงระแวง,main dish,Central provinces,Central,448,5,False,447600,30,Mild,3.8
Kaeng Bon,แกงบอน,main dish,Various,Various,,20,False,11200,100,Not Spicy,2.7
Kua Kling,คั่วกลิ้ง,main dish,Southern provinces,South,382,30,False,56100,100,Medium,
Kanom Man Sampalang,ขนมมันสำปะหลัง,dessert,Various,Various,417,40,False,362000,,,3.2
Kaeng Buan,แกงบวน,main dish,Central provinces,Central,794,25,False,12300,35,Medium,
Khanom Chin Kaeng Kai Kua,ขนมจีนแกงไก่คั่ว,main dish,Various,Various,283,,,260200,,Not Spicy,
San Mo,แซนโม,main dish,Unknown,Unknown,814,60,False,412100,,Hot,4.9
A Law,อาละหว่า,dessert,Unknown,Unknown,753,25,True,348800,,,4.6
Kao Kha Mu,ข้าวขาหมู,main dish,Bangkok,Central,570,45,False,19500,100,,3.8
Yen Ta Fo,เย็นตาโฟ,main dish,Bangkok,Central,464,120,True,259400,150,Not Spicy,4.0
Bo Toa,บอเตาะ,main dish,Unknown,Unknown,,90,False,199300,40,Very Hot,
Dok Kai,ดอกไข่,snack,Unknown,Unknown,483,,True,270500,70,Mild,
Moo Ping,หมูปิ้ง,snack,Various,Various,317,40,True,129200,50,Very Hot,2.9
Kanom Kheaw,ขนมเขียว,snack,Various,Various,803,90,True,414800,70,Not Spicy,4.9
Yam Sam Krob,ยำสามกรอบ,main dish,Various,Various,775,45,False,451100,150,,3.8
Kanom Kae Aam,ขนมแก้อาม,dessert,Unknown,Unknown,546,10,True,159700,40,,4.4
Kao Chi,ข้าวจี่,main dish,Rural areas,Northeast,843,40,False,458400,70,Very Hot,2.8
Miang Kham,เมี่ยงคำ,snack,Various,Various,473,40,False,395700,100,Medium,3.9
Sup Singapore,ซุปสิงคโปร์,main dish,Various,Various,,30,False,153300,40,Very Hot,2.5
Thung Thong,ถุงทอง,snack,Bangkok,Central,664,,False,476100,60,,4.4
Otao,โอต้าว,snack,Unknown,Unknown,654,120,False,266400,35,Mild,4.1
Kai Ob Fang,ไก่อบฟาง,main dish,Rural areas,Central,808,40,,365100,,Hot,3.2
Khao Pan,ข้าวพัน,snack,Unknown,Unknown,291,20,True,274100,50,,3.6
Fak Khiao Kwan,ฟักเขียวกวน,dessert,Various,Various,574,20,False,7400,40,Not Spicy,4.3
Krabong,กระบอง,snack,Unknown,Unknown,390,,True,166800,60,,
Kaeng Phet,แกงเผ็ด,main dish,Various,Various,546,,False,,25,Not Spicy,2.8
Kanom Jor Hu,ขนมเจาะหู,dessert,Unknown,Unknown,663,45,False,,70,Very Hot,3.3
Sa Rim,ซ่าหริ่ม,dessert,Various,Various,766,25,False,410500,80,Hot,3.0
A Kao,อาเกาะ,dessert,Unknown,Unknown,740,,True,196500,60,Very Hot,4.8
Kaeng Patcharee,แกงปัจรี,main dish,Unknown,Unknown,325,15,True,334600,80,Hot,2.5
Kanom Kui Ling,ขนมควยลิง,snack,Various,Various,227,120,True,428400,45,Not Spicy,
Kanom Mor Kaeng,ขนมหม้อแกง,dessert,Various,Various,197,120,False,105000,35,Very Hot,
Ko Kae,โก๋แก่,snack,Unknown,Unknown,179,25,True,191700,30,Hot,3.9
Tom Khreung Nai Moo,ต้มเครื่องในหมู,main dish,Various,Various,498,15,False,134700,,Very Hot,3.5
Jub Chai,จับฉ่าย,main dish,Various,Various,761,15,False,293600,35,Mild,4.7
Kanom Farang Kudi Chin,ขนมฝรั่งกุฎีจีน,dessert,Various,Various,722,30,True,283000,50,Medium,4.4
Kao Soi,ข้าวซอย,main dish,Chiang Mai,North,318,15,True,442200,45,Hot,3.7
Kai Dao,ไข่ดาว,main dish,Various,Various,524,45,False,258000,50,Not Spicy,
Kaeng Buat,แกงบวด,dessert,Various,Various,296,45,False,398800,60,Not Spicy,2.9
Kanom Hua Lan,ขนมหัวล้าน,dessert,Unknown,Unknown,,45,False,433000,100,Not Spicy,2.9
Kai Sam Yang,ไก่สามอย่าง,main dish,Unknown,Unknown,253,25,,,25,Medium,4.2
Suea Rong Hai,เสือร้องไห้,main dish,Northeast provinces,Northeast,831,90,False,370200,30,Medium,
Kanom Pia,ขนมเปี๊ยะ,snack,Various,Various,548,10,False,332000,120,Not Spicy,3.7
Kaeng Khae,แกงแค,main dish,Northern provinces,North,303,120,False,277800,80,Very Hot,
Pa Thong Ko,ปาท่องโก๋,snack,Various,Various,332,10,True,58900,25,Medium,2.6
Phra Ram Long Song,พระรามลงสรง,main dish,Unknown,Unknown,706,5,False,320300,25,Hot,4.5
Sankhaya Kuan,สังขยา (กวน),dessert,Various,Various,836,30,False,,45,Mild,
Kha Kai Super,ขาไก่ซุปเปอร์,main dish,Bangkok,Central,610,20,,323300,50,Not Spicy,
Phat Khing,ผัดขิง,main dish,Various,Various,760,10,False,264300,100,Not Spicy,4.4
Kanom Jeeb,ขนมจีบ,snack,Bangkok,Central,607,60,,244100,100,,
Pla Haeng Tang Mo,ปลาแห้งแตงโม,snack,Unknown,Unknown,196,60,False,482500,,,
Roti,โรตี,snack,Various,Various,590,5,False,193200,100,Hot,3.8
Yam Pla Duk Fu,ยำปลาดุกฟู,main dish,Various,Various,238,90,False,,45,Medium,3.0
Kanom Grok,ขนมกรอก,snack,Various,Various,,15,True,208600,35,Hot,2.9
Som Choon Yam,ส้มฉุน (ยำ),salad,Various,Various,790,,True,52300,25,,4.2
Sa Uh,สะเออะ,main dish,Unknown,Unknown,703,5,False,339800,40,Not Spicy,3.9
Ma Ho,ม้าฮ่อ,snack,Various,Various,401,,False,404600,100,Very Hot,3.5
Loba,โลบะ,main dish,Southern provinces,South,716,20,True,381900,100,Hot,
Khang Khao Pueak,ค้างคาวเผือก,snack,Various,Various,387,20,,108700,120,Hot,
Hoi Tod,หอยทอด,main dish,Coastal provinces,South,722,5,False,405900,80,Mild,3.8
Kao Rad Na Kai,ข้าวราดหน้าไก่,main dish,Bangkok,Central,,25,False,131500,45,Hot,4.9
Kao Mok,ข้าวหมก,main dish,Southern provinces,South,470,30,True,5400,45,Medium,4.3
Srong,สร่ง,snack,Unknown,Unknown,688,30,False,338700,70,Medium,4.7
Kiem Ee,เกี้ยมอี๋,main dish,Bangkok,Central,282,5,,497000,60,Very Hot,3.9
A Law,อาลัว,dessert,Unknown,Unknown,178,10,True,170300,45,Medium,2.6
Tom Kati,ต้มกะทิ,main dish,Various,Various,547,5,True,445300,80,Not Spicy,2.8
Nam Tok,น้ำตก,main dish,Various,Various,,20,False,473300,50,Medium,3.3
Kanom Kusarang,ขนมกุสรัง,dessert,Various,Various,792,25,False,,70,Hot,3.1
Tom Kha Kai,ต้มข่าไก่,main dish,Various,Various,693,30,True,15000,45,,
Khao Mao,ข้าวเม่า,dessert,Unknown,Unknown,692,120,False,266700,120,Hot,
Kuai Tiao Ruea,ก๋วยเตี๋ยวเรือ,main dish,Ayutthaya,Central,482,120,True,495800,70,Not Spicy,3.7
Khao Lam,ข้าวหลาม,dessert,Various,Various,,120,True,363700,25,,
Kuay Teow Lord,ก๋วยเตี๋ยวหลอด,main dish,Bangkok,Central,,,False,350800,120,Very Hot,3.7
Kanom Khai,ขนมไข่,snack,Various,Various,248,5,False,201800,60,Mild,4.4
Kluay Buat Chi,กล้วยบวชชี,dessert,Various,Various,273,,False,,120,,4.5
Kung Chae Nam Pla,กุ้งแช่น้ำปลา,main dish,Coastal provinces,South,153,10,False,,150,,3.4
Kao Pheup,ข้าวเปิ๊บ,main dish,Unknown,Unknown,782,5,False,94700,35,,
Chao Kuai,เฉาก๊วย,dessert,Various,Various,482,30,False,355600,80,Medium,
La Sao,ละซอ,main dish,Unknown,Unknown,357,5,True,132700,100,Mild,3.8
A Pong,อาโป้ง,snack,Unknown,Unknown,745,30,False,314400,40,,3.3
Kanom Pang Na Moo,ขนมปังหน้าหมู,snack,Bangkok,Central,174,30,False,225100,60,Not Spicy,4.9
Panaeng,พะแนง,main dish,Various,Various,760,30,False,93400,35,Not Spicy,4.3
Phat See Ew,ผัดซีอิ๊ว,main dish,Bangkok,Central,434,25,True,282600,70,Not Spicy,4.8
Kratong Thong,กระทงทอง,snack,Unknown,Unknown,233,90,False,,25,Mild,3.1
Kao Man Kaeng Kai,ข้าวมันแกงไก่,main dish,Various,Various,778,120,False,235100,60,Medium,4.1
Kuai Chap,กวยจั๊บ,main dish,Bangkok,Central,132,,False,339600,150,Hot,3.9
Hoi Siab Jim Malakor,หอยเสียบจิ้มมะละกอ,snack,Unknown,Unknown,818,120,,333000,30,Not Spicy,4.1
Kai Katet,ไก่กะเต็ด,main dish,Unknown,Unknown,361,10,False,411600,50,Very Hot,3.2
Koey Yeung Kok Siang Bi,เกยย้งก๊กเซียงบี๊,main dish,Bangkok,Central,736,10,False,453500,30,Medium,
Phat Cha,ผัดฉ่า,main dish,Various,Various,202,30,True,100300,,Hot,2.7
Maskot,มัศกอด,dessert,Unknown,Unknown,285,,,429700,120,,2.6
Kaeng Matsaman,แกงมัสมั่น,main dish,Southern provinces,South,290,15,False,431100,120,Hot,2.8
Kao Maew,ข้าวแมว,main dish,Unknown,Unknown,502,60,False,241900,40,,4.6
Kaeng Ron,แกงร้อน,main dish,Unknown,Unknown,,,False,20200,60,Mild,
O Aew,โอ้เอ๋ว,dessert,Unknown,Unknown,,30,True,,150,Medium,4.0
Poh Pia,เปาะเปี๊ยะ,snack,Various,Various,282,40,True,175000,,Hot,
Kari Puff,กะหรี่ปั๊บ,snack,Bangkok,Central,131,15,False,42300,,Not Spicy,4.0
Kanom Thien,ขนมเทียน,dessert,Various,Various,689,90,False,147900,45,,4.7
Vihok Long Rang,วิหคหลงรัง,snack,Unknown,Unknown,246,,False,201400,60,,4.4
Aeb,แอ็บ,main dish,Unknown,Unknown,,5,,410600,100,Medium,4.6
Tam Tang,ตำแตง,main dish,Various,Various,287,25,True,422600,30,Hot,
Mok,หมก,main dish,Unknown,Unknown,444,45,False,145800,100,Mild,3.8
Khao Ya Khu,ข้าวยาคู,dessert,Unknown,Unknown,800,15,True,90600,45,,
Kaeng Kua,แกงคั่ว,main dish,Various,Various,397,20,False,326500,35,Mild,4.5
Kanom Thang Taek,ขนมถังแตก,snack,Various,Various,681,,False,262200,60,Medium,4.2
Phat Kaphrao,ผัดกะเพรา,main dish,Various,Various,415,10,False,424400,35,Hot,4.7
Yam Kai Dao,ยำไข่ดาว,main dish,Various,Various,549,10,False,246000,50,Very Hot,4.0
Sai Krok Isan,ไส้กรอกอีสาน,main dish,Northeast provinces,Northeast,353,,,123800,50,Very Hot,4.6
Kaeng To Mae Ha,แกงตอแมะฮ,main dish,Unknown,Unknown,536,90,False,239400,,Very Hot,4.2
Lab,ลาบ,main dish,Northeast provinces,Northeast,337,30,False,478000,45,Medium,3.8
Kanom Tom,ขนมต้ม,dessert,Various,Various,386,30,False,82500,100,Mild,2.7
Poo Ja,ปูจ๋า,main dish,Various,Various,,90,True,,80,,
Kai Paam,ไข่ป่าม,main dish,Northern provinces,North,124,20,False,422500,45,Hot,3.2
Kanom Puang Pratad,ขนมพวงประทัด,snack,Unknown,Unknown,149,40,False,133200,80,Not Spicy,3.5
Kanom Gong,ขนมกง,dessert,Various,Various,254,45,,,60,Hot,3.1
Moo Wan,หมูหวาน,main dish,Various,Various,304,20,False,12100,,Hot,
Kaeng Ho,แกงโฮะ,main dish,Unknown,Unknown,182,20,False,92400,35,Very Hot,4.3
Dok Kung,ดอกกุ้ง,snack,Unknown,Unknown,380,25,False,248000,40,Mild,3.5
Kanom Chak,ขนมจาก,snack,Various,Various,560,20,True,,120,Not Spicy,
Cho Hraeng,จอแหร้ง,main dish,Unknown,Unknown,,45,True,19300,30,,
Med Kanoon,เม็ดขนุน,dessert,Various,Various,525,20,True,144500,80,Very Hot,4.8
Yam Tawai,ยำทวาย,main dish,Unknown,Unknown,,5,,,70,Very Hot,3.5
Ro Yor,รอเยาะ,main dish,Unknown,Unknown,722,20,True,167100,150,Hot,3.9
La We Kadam,ละแวกะดาม,main dish,Unknown,Unknown,,10,True,,50,Medium,
Kaeng Noppakao,แกงนพเก้า,main dish,Unknown,Unknown,634,,False,266200,120,Hot,2.5
Cho Phak Kat,จอผักกาด,main dish,Northern provinces,North,706,,True,,80,Medium,3.0
Luk Chup,ลูกชุบ,dessert,Various,Various,222,5,False,420100,120,Hot,4.4
Sankhaya Nueng,สังขยา (นึ่ง),dessert,Various,Various,326,25,True,145900,35,Medium,
Kanom Luem Gluen,ขนมลืมกลืน,dessert,Various,Various,297,30,False,496600,70,Medium,2.5
Kao Chi,ข้าวจี่,snack,Various,Various,374,15,True,400900,80,Mild,3.6
Kanom Geson Lam Chiek,ขนมเกสรลำเจียก,dessert,Unknown,Unknown,822,,False,91700,,Mild,2.6
Kaeng Nang Loy,แกงนางลอย,main dish,Unknown,Unknown,787,15,False,176500,150,Mild,
Phi Tai Wak,ผีตายหวาก,dessert,Unknown,Unknown,636,60,True,486400,80,Medium,4.8
Moo Hong,หมูฮ้อง,main dish,Southern provinces,South,,10,False,144200,35,Not Spicy,3.9
Kanom Chang Ma,ขนมแชงม้า,dessert,Unknown,Unknown,823,25,False,243000,50,,3.1
Kaeng Hong,แกงหอง,main dish,Unknown,Unknown,524,120,True,325400,35,Hot,3.0
Kaeng Khiao Wan,แกงเขียวหวาน,main dish,Various,Various,194,,False,183300,,Hot,3.7
Kanom Tokyo,ขนมโตเกียว,dessert,Bangkok,Central,451,60,False,56800,120,Hot,4.3
Phat Thai,ผัดไทย,main dish,Bangkok,Central,462,120,False,478000,150,,4.7
Tu Bo,ตูโบ้,dessert,Unknown,Unknown,219,45,False,,120,Mild,
Kuai Tiao Pak Mo,ก๋วยเตี๋ยวปากหม้อ,main dish,Nakhon Pathom,Central,150,60,False,52800,40,Not Spicy,3.0
Khanom Chin,ขนมจีน,main dish,Various,Various,,20,False,424500,120,Very Hot,
Kaeng Poe,แกงเปอะ,main dish,Northeast provinces,Northeast,314,15,True,39400,40,Very Hot,2.8
Kai Raberd,ไข่ระเบิด,main dish,Unknown,Unknown,798,10,True,30000,120,Medium,3.7
Kanom Nam Dok Mai,ขนมน้ำดอกไม้,dessert,Unknown,Unknown,394,15,False,341100,80,Mild,
Kaeng Ngao Ngod,แกงเหงาหงอด,main dish,Unknown,Unknown,807,15,False,,70,Medium,3.6
Khao Kriap Kung,ข้าวเกรียบกุ้ง,snack,Bangkok,Central,711,10,,423300,25,Mild,2.9
Lon,หลน,main dish,Unknown,Unknown,320,,True,343100,120,Very Hot,3.0
Tom Yam,ต้มยำ,main dish,Various,Various,236,20,True,364900,70,,3.7
Kanom Beung,ขนมเบื้อง,snack,Various,Various,518,60,False,306400,45,,
Moo Takro,หมูตะกร้อ,snack,Unknown,Unknown,432,,False,129400,50,Medium,2.7
Mata Ba,มะตะบะ,snack,Southern provinces,South,322,90,True,369000,25,Hot,2.6
Khao Tom Bai Kapho,ข้าวต้มใบกะพ้อ,dessert,Various,Various,147,90,False,,80,Medium,3.7
Sai Ua,ไส้อั่ว,main dish,Northern provinces,North,264,25,False,364200,45,Hot,4.8
Kao Tom,ข้าวต้ม,main dish,Various,Various,,25,True,255300,,Very Hot,4.1
Mamoung Kwan,มะม่วงกวน,dessert,Unknown,Unknown,445,15,True,471000,25,Medium,4.0
Gruay Thip,กรวยทิพย์,snack,Unknown,Unknown,370,45,,,50,Mild,2.7
Kanom Nian,ขนมเนียล,dessert,Unknown,Unknown,,45,True,204000,45,Not Spicy,
Kanom Kheng,ขนมเข่ง,dessert,Various,Various,300,60,True,471500,,Not Spicy,3.2
Kaeng Somrom,แกงสมรม,main dish,Unknown,Unknown,471,10,True,303700,,Medium,3.1
Kai Kwam,ไข่คว่ำ,main dish,Various,Various,192,10,False,367000,70,Not Spicy,4.4
Kalamae,กะละแม,dessert,Various,Various,,,False,259800,,,4.5
Ha Kun,แฮ่กึ๊น,snack,Unknown,Unknown,,90,False,341400,40,Mild,3.4
Pla Nam,ปลาแนม,snack,Unknown,Unknown,498,60,False,287600,35,Medium,4.0
Tom Som,ต้มส้ม,main dish,Various,Various,691,90,False,184300,70,Medium,3.9
Khao Tom Nam Woon,ข้าวต้มน้ำวุ้น,dessert,Various,Various,692,120,False,335700,60,Not Spicy,2.7
Roti Sai Mai,โรตีสายไหม,snack,Various,Various,390,5,False,410700,30,,4.9
Khao Pong,ข้าวโป่ง,snack,Various,Various,473,15,False,83800,100,,4.5
Khrong Khrang Krop,ครองแครงกรอบ,snack,Various,Various,399,,False,388000,25,Medium,4.6
Kai Look Kheuy,ไข่ลูกเขย,main dish,Various,Various,185,90,True,,100,Mild,
Om,อ่อม,main dish,Various,Various,344,60,True,175600,80,,3.5
Kanom Thuai Fu,ขนมถ้วยฟู,dessert,Various,Various,,30,False,248700,120,Hot,
Tupa Sutong,ตูปะซูตง,main dish,Unknown,Unknown,434,15,True,193900,,Medium,
Kao Phat Sapparot,ข้าวผัดสับปะรด,main dish,Coastal provinces,South,368,45,False,443300,30,Mild,3.3
Kaeng Chin Chuan,แกงจีนจ๊วน,main dish,Various,Various,801,45,False,29700,120,,2.6
Soup Asa Ren,ซุปอาสาเรน,soup,Bangkok,Central,137,30,,,60,Hot,3.0
Nua Nang Phao,เนื้อนางเพา,main dish,Unknown,Unknown,,20,False,169000,60,,
Yam Sanat,ยำสะนัด,main dish,Unknown,Unknown,,25,,359000,150,,3.6
Tom Jiw,ต้มจิ๋ว,main dish,Various,Various,138,90,,357000,25,Mild,4.6
Kao Na Ped,ข้าวหน้าเป็ด,main dish,Bangkok,Central,840,10,,281300,70,Medium,
Ma Uan,ม้าอ้วน,snack,Unknown,Unknown,448,45,True,215500,120,Not Spicy,4.4
Soi Ju,ซอยจุ๊,main dish,Northeast provinces,Northeast,360,15,True,329500,30,Very Hot,2.6
Yam Yai,ยำใหญ่,main dish,Various,Various,667,120,True,44200,30,Medium,2.9
Som Chun,ส้มฉุน,salad,Various,Various,228,15,False,,80,Mild,
Tub Tim Grob,ทับทิมกรอบ,dessert,Various,Various,527,90,False,115400,30,Not Spicy,4.6
Kao Yam,ข้าวยำ,main dish,Southern provinces,South,189,5,False,276100,70,Not Spicy,3.8
Sup Khreung Nai,ซุปเครื่องใน,main dish,Various,Various,406,,False,273600,70,Medium,4.8
Pla Kok,ปลาคก,main dish,Unknown,Unknown,622,,True,,45,Very Hot,3.1
Kai Hor Bai Toey,ไก่ห่อใบเตย,main dish,Various,Various,,40,False,322000,150,Hot,3.4
Ja Mongkut,จ่ามงกุฎ,dessert,Unknown,Unknown,,90,False,180300,80,Not Spicy,3.1
Kaeng Lueang,แกงเหลือง,main dish,Southern provinces,South,205,,False,471000,,Very Hot,
Kai Koa Lae,ไก่กอและ,main dish,Pattani,South,539,40,True,,80,Very Hot,2.7
Phat Khi Mao,ผัดขี้เมา,main dish,Bangkok,Central,798,90,False,249700,150,Very Hot,3.6
Salapao,ซาลาเปา,snack,Various,Various,,60,True,88700,60,Mild,4.4
Khao Tu,ข้าวตู,snack,Various,Various,244,15,False,377000,35,Very Hot,
Ngob,งบ,main dish,Unknown,Unknown,343,60,False,213500,25,Very Hot,
Kao Khluk Kapi,ข้าวคลุกกะปิ,main dish,Bangkok,Central,775,10,False,105100,30,Very Hot,
Kaeng Tumi,แกงตูมี้,main dish,Unknown,Unknown,133,40,,74700,40,,4.1
Tom Kloang,ต้มโคล้ง,main dish,Various,Various,413,60,True,423800,80,Not Spicy,3.3
Hoi Tak,หอยตาก,snack,Unknown,Unknown,258,40,True,102200,30,Not Spicy,4.5
Kao Chae,ข้าวแช่,main dish,Central provinces,Central,827,60,True,,25,Hot,4.7
Chu Chi,ฉู่ฉี่,main dish,Various,Various,301,5,False,261000,,Very Hot,3.0
Kao Man Somtam,ข้าวมันส้มตำ,main dish,Various,Various,228,45,False,167300,50,Not Spicy,4.9
Lot Chong,ลอดช่อง,dessert,Various,Various,309,90,False,,30,Hot,4.0
Kuai Tiao Kua Kai,ก๋วยเตี๋ยวคั่วไก่,main dish,Bangkok,Central,515,20,False,432000,25,Medium,4.9
Kao Kan Jin,ข้าวกั๊นจิ๊น,main dish,Northern provinces,North,199,10,False,68400,100,Hot,3.0
Phat Phak Bung,ผัดผักบุ้ง,main dish,Various,Various,,20,False,,80,Mild,
Sate,สะเต๊ะ,snack,Southern provinces,South,739,90,False,479200,100,Medium,3.4
Kanom Kee Nu,ขนมขี้หนู,snack,Various,Various,376,20,True,495700,25,Hot,3.8
